"","visitor_id","num_sessions","test_groups","session_id","device_class","params","days","city","country","price","tenant_fee","landlord_fee","total_paid","currency","test_status","instant_booking","user_verified","total_paid.EUR"
"1","0588b612a337b8f46f6243acbf19d4166fcb8fde",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""show"",""cbnw"":""ref""}","0588b612a337b8f46f6243acbf19d4166fcb8fde","desktop","{""event_content"":{},""page"":{""request_id"":""b8accae55e09d9b9f0ae"",""apartment_id"":""bfbdb0407c3926d445d3"",""start"":""2021-07-28"",""end"":""2021-08-27"",",30,"Oxford","GB",3542,0,425.04,3542,"GBP","test","Instant","Verified",4179.56
"2","05d7509406caf2df6c40dbc5c0f01aa1290639fd",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""ref"",""cbnw"":""ref""}","3e4c83cfeb37fd09a7c1ca09ea320b0fdb127d3b","phone","{""event_content"":{},""page"":{""request_id"":""2837d5506493d0bc39cf"",""apartment_id"":""5095405fe258ddbda305"",""start"":""2021-08-01"",""end"":""2021-08-31"",",30,"Manchester","GB",2745.5,0,329.46,2745.5,"GBP","control","Not_instant","Verified",3239.69
"3","06c3db602a322764c32c1f259d1ac3d4efca0743",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""ref"",""cbnw"":""ref""}","be622dd26900115de024219b9c082b9910b0b585","desktop","{""event_content"":{""hotjar_id"":""5e5d33c6""},""page"":{""request_id"":""a2bbf5f3d8930a0e4e8b"",""apartment_id"":""dba5648cc33d62785feb"",""start"":""2021-07-20"",""end"":""2021-08-19"",",30,"Düsseldorf","DE",1450,0,174,1450,"EUR","control","Not_instant","Verified",1450
"4","0765cca37401481e6de042db8c143c2241383ab5",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""ref"",""cbnw"":""ref""}","a631e6336fb0e2567fb5563190804fb30e691a85","desktop","{""event_content"":{},""page"":{""request_id"":""d5c7624ddc648c68a184"",""apartment_id"":""a84e2b2df0113385eea5"",""start"":""2021-08-16"",""end"":""2022-04-16"",",243,"Munich","DE",1150,0,1110.8256,9256.88,"EUR","control","Not_instant","Verified",9256.88
"5","0e56bea00e69cce7b5f47605a915ba480f7853af",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""show"",""cbnw"":""ref""}","2e46d777d5e73180975fb5f1fc6435854cc9c3c2","desktop","{""event_content"":{},""page"":{""request_id"":""d77ee0e01fa4d0ae351a"",""apartment_id"":""cd5f3878243d2c993947"",""start"":""2021-07-22"",""end"":""2021-08-21"",",30,"Frankfurt","DE",4495.07,0,539.4084,4495.07,"EUR","test","Not_instant","Verified",4495.07
"6","1144f9d04bf26a385b69e00ffcee009c63c20b64",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""show"",""cbnw"":""ref""}","2ee9494278386ab97dad4243ae134dae1f959c5e","phone","{""event_content"":{},""page"":{""request_id"":""5a2fbcbb3e03f650a071"",""apartment_id"":""4d23d9cb57a84a11805f"",""start"":""2021-07-25"",""end"":""2021-08-26"",",32,"Munich","DE",1178,0,150.48,1254,"EUR","test","Not_instant","Verified",1254
"7","120cc3c8f00c6dff6b68b8e9cb73d8841be9f256",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""show"",""cbnw"":""ref""}","91575e4fb7ee462db41f0f2dabf5335d643a9e7d","phone","{""event_content"":{""hotjar_id"":""33504b27"",""request_id"":""64428aaba4f1d996d186"",""request_status"":""finished""},""page"":{""request_id"":""64428aaba4f1d996d186"",""apartment_id"":""f900804dcae953a747d0"",""start"":""2021-11-01"",""end"":""2021-12-31"",",60,"Amsterdam","NL",2250,0,540,4500,"EUR","test","Not_instant","Verified",4500
"8","14f305023080e6ae965d68b44e24c2f6b5ddc2cb",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""show"",""cbnw"":""ref""}","aa7e67320cfd2f6f55018914fdad47118b3ce1e4","phone","{""event_content"":{},""page"":{""request_id"":""d4c0d0340e3da12e25fa"",""apartment_id"":""5cd7969aac3029dfa4c7"",""start"":""2021-07-31"",""end"":""2023-03-31"",",608,"Brussels","BE",1250,0,3004.8384,25040.32,"EUR","test","Not_instant","Verified",25040.32
"9","1819b71207b81be2ab9b661e467c271c54775551",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""show"",""cbnw"":""ref""}","ac4b354dd689f64e1ecca611e8eaad6751a6bb40","desktop","{""event_content"":{""hotjar_id"":""8d7730a1""},""page"":{""request_id"":""0bf7a6395c660dbfc92b"",""apartment_id"":""5821c5261fd79e66dbd1"",""start"":""2021-08-27"",""end"":""2021-09-29"",",33,"Madrid","ES",1476.43,76.43,189.4968,1579.14,"EUR","test","Not_instant","Verified",1579.14
"10","197cb89d8b05817d2f020595c50fd2260fb1a2b9",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""show"",""cbnw"":""ref""}","d875480dda6b36deed83b48c525885af800cd069","desktop","{""event_content"":{},""page"":{""request_id"":""e62dbd03c034101ec0fd"",""apartment_id"":""8273803b4b76970123a2"",""start"":""2022-01-09"",""end"":""2022-03-26"",",76,"London","GB",1445.38,0,447.6,3730,"GBP","test","Not_instant","Verified",4401.4
"11","1987e8a25971aba0bacc9adad4c1899dee86c17f",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""ref"",""cbnw"":""ref""}","59293f5642060bac9ed903f42455c9e5a381849c","phone","{""event_content"":{},""page"":{""request_id"":""c86f1cce1671806f96e9"",""apartment_id"":""71372fc58590239bdc3d"",""start"":""2021-07-25"",""end"":""2021-10-16"",",83,"Paris","FR",3205.98,0,1054.872,8790.6,"EUR","control","Not_instant","Verified",8790.6
"12","19f4eae27dbc153d71b9a6a3525077eb0c1f1a6b",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""ref"",""cbnw"":""ref""}","8b9e4ce33ad7af1ba41118551379c7ad0641aa0c","desktop","{""event_content"":{""hotjar_id"":""35bb6092""},""page"":{""request_id"":""1eb2f79b9de22a9d5154"",""apartment_id"":""b31fed353b91757d5bc4"",""start"":""2021-08-06"",""end"":""2022-08-06"",",365,"Kaiserslautern","DE",2120.4,0,3061.584,25513.2,"EUR","control","Not_instant","Verified",25513.2
"13","1c3cdbbbb655b5039be72dc87dc7d4f505fd41ac",2,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""ref"",""cbnw"":""ref""}","2e965a383d2bbcc26aae6b0837c547a136595e18","desktop","{""event_content"":{},""page"":{""request_id"":""b39d261264c99b184ea8"",""apartment_id"":""db40731d3f2f0a0d9"",""start"":""2021-08-01"",""end"":""2021-09-01"",",31,"London","GB",2608.45,0,323.448,2695.4,"GBP","control","Instant","Verified",3180.572
"14","1c5ac2a02e27efb47ef4f34ca16acedc801110e0",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""ref"",""cbnw"":""ref""}","596a13aeb6486451f1c4fe934b18f625e98d237e","phone","{""event_content"":{},""page"":{""request_id"":""4694dbdbbc28424909cf"",""apartment_id"":""7BJHXzRj6M5FxStkY"",""start"":""2021-07-23"",""end"":""2021-10-29"",",98,"Berlin","DE",1390,0,538.0644,4483.87,"EUR","control","Not_instant","Verified",4483.87
"15","21c220e1286475843214e999ed8160d393ec2cd4",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""ref"",""cbnw"":""ref""}","01cff5d21f3b9db3edf0f69f80d92d8388391be3","desktop","{""event_content"":{},""page"":{""request_id"":""54e9d36191ccc588e543"",""apartment_id"":""f7fcead5063eebb63997"",""start"":""2021-09-01"",""end"":""2022-01-31"",",152,"Berlin","DE",1590,0,954,7950,"EUR","control","Not_instant","Verified",7950
"16","236f25f6616425db9d4ea38f7cb76af2c85fac01",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""show"",""cbnw"":""ref""}","801c22a2d853d28a884c5cbc7ac2c3eb36fdf6aa","desktop","{""event_content"":{},""page"":{""request_id"":""335dda3daf75d34bf0e8"",""apartment_id"":""ed74e8dd4bc184b017b8"",""start"":""2021-08-01"",""end"":""2021-09-03"",",33,"Barcelona","ES",1316.55,66.55,165,1375,"EUR","test","Not_instant","Verified",1375
"17","24b9fce3f206396ddd2fe68a0f5b6ce3dc13968a",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""ref"",""cbnw"":""ref""}","a4ab754e96c9f59063aa6b9d5f1ee02ecbd9cda7","phone","{""event_content"":{""hotjar_id"":""034cc1bb"",""request_id"":""0376d9d9ce36abffa981"",""request_status"":""booked""},""page"":{""request_id"":""0376d9d9ce36abffa981"",""apartment_id"":""e01ef4b60414dd711f8f"",""start"":""2021-08-31"",""end"":""2021-11-02"",",63,"Barcelona","ES",1046.41,96.41,239.0328,1991.94,"EUR","control","Instant","Verified",1991.94
"18","2833d69007560346f7f6834a880407215d7ab9fb",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""ref"",""cbnw"":""ref""}","2833d69007560346f7f6834a880407215d7ab9fb","desktop","{""event_content"":{""hotjar_id"":""7f0cfafe""},""page"":{""request_id"":""627e62cee252b99dee99"",""apartment_id"":""74b88c1fdffcbf537398"",""start"":""2021-07-17"",""end"":""2021-09-04"",",49,"Heidelberg","DE",1850,0,358.0644,2983.87,"EUR","control","Not_instant","Verified",2983.87
